Date,topic_coherence,topic_coherence_diff,recon_ratio
25/02/2013,0.712966442,0.845136344,0.009238783
26/02/2013,0.731835365,0.855019689,0.00323502
27/02/2013,0.709096909,0.854583621,0.005812762
28/02/2013,0.832522583,0.838615775,0.005290985
01/03/2013,0.686496592,0.921051681,0.007054878
04/03/2013,0.849419975,0.822411835,0.006061732
05/03/2013,0.712871695,0.899217486,0.001819574
06/03/2013,0.711364937,0.852612376,0.004808332
07/03/2013,0.681851101,0.836592019,0.003745107
08/03/2013,0.700870323,0.845366478,0.007471407
11/03/2013,0.81407547,0.828434169,0.008633466
12/03/2013,0.720251465,0.883853137,0.003738047
13/03/2013,0.724025345,0.838642597,0.006244881
14/03/2013,0.713221359,0.866158307,0.005332436
15/03/2013,0.76850996,0.826977134,0.004202903
18/03/2013,0.657271862,0.892882526,0.00722769
19/03/2013,0.740207243,0.903721213,0.005490103
20/03/2013,0.74331522,0.901415229,0.006434524
21/03/2013,0.667043877,0.889825702,0.004672719
22/03/2013,0.729553413,0.860903859,0.006147382
25/03/2013,0.707691002,0.883024573,0.00915382
26/03/2013,0.744075012,0.915640652,0.003092148
27/03/2013,0.722342968,0.917129517,0.006510924
28/03/2013,0.735454941,0.861400783,0.005455892
01/04/2013,0.737559652,0.882314563,0.00991685
02/04/2013,0.650012875,0.884405434,0.002481585
03/04/2013,0.696156025,0.875192821,0.006121991
04/04/2013,0.714044189,0.876059711,0.006429465
05/04/2013,0.650405502,0.853472233,0.005661233
08/04/2013,0.713215256,0.848654747,0.007303396
09/04/2013,0.673890305,0.896480381,0.005627302
10/04/2013,0.735424328,0.805031002,0.004739565
11/04/2013,0.711314774,0.892437637,0.006764631
12/04/2013,0.666470623,0.795151711,0.005591178
15/04/2013,0.775920296,0.86281383,0.009309905
16/04/2013,0.79931035,0.803433537,-0.001987184
17/04/2013,0.68978157,0.853818238,0.003171685
18/04/2013,0.680529022,0.824714959,0.002915401
19/04/2013,0.704493809,0.825609028,0.003735239
22/04/2013,0.760286808,0.89483583,0.006620714
23/04/2013,0.702414322,0.893086076,0.002955379
24/04/2013,0.728533936,0.839645684,0.006353299
25/04/2013,0.662515736,0.849015236,0.004940875
26/04/2013,0.703086281,0.831372142,0.006388451
